               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12237,            0.046585,            0.084577,          0.00077174,            0.066415,          0.00071857,          0.00016507,             0.10961,            0.032965,            0.077911,              0.0892,              0.0012,              0.0012
                   1,             0.11075,            0.052471,            0.079355,           0.0035564,             0.20093,           0.0059759,           0.0016832,            0.093905,            0.037065,            0.072478,            0.077475,           0.0024753,           0.0024753
                   2,            0.092881,            0.056281,            0.074201,            0.098589,             0.13077,            0.057565,            0.018104,            0.079738,            0.038421,             0.06459,            0.065725,           0.0037248,           0.0037248
                   3,            0.082942,            0.058709,            0.068365,             0.59333,            0.042081,            0.026965,           0.0070975,            0.083525,            0.043922,            0.058369,            0.053949,           0.0049485,           0.0049485
                   4,            0.077954,            0.062617,            0.063836,            0.028619,             0.12841,            0.032707,            0.010965,            0.080281,            0.047358,            0.055514,            0.042147,           0.0061466,           0.0061466
                   5,            0.076237,            0.052063,            0.059394,             0.10938,             0.20526,            0.098919,            0.036818,            0.074011,            0.035629,            0.050127,            0.030319,           0.0073188,           0.0073188
                   6,            0.073012,            0.048485,            0.057114,             0.28502,             0.22074,             0.12906,            0.055534,            0.070364,            0.032081,            0.048158,            0.018465,           0.0084654,           0.0084654
                   7,            0.075497,            0.045529,            0.053199,             0.39526,             0.18688,             0.11257,            0.045578,            0.072828,            0.027885,            0.044285,            0.009307,            0.009307,            0.009307
                   8,            0.071337,            0.043553,             0.05159,              0.4252,             0.27081,             0.17061,            0.068045,            0.068512,            0.027153,            0.041422,            0.009307,            0.009307,            0.009307
                   9,            0.069223,             0.04279,            0.044821,             0.51055,             0.29825,             0.23606,            0.089616,             0.06233,            0.026959,            0.038578,            0.009208,            0.009208,            0.009208
                  10,             0.06652,            0.044158,            0.043919,             0.53273,              0.3309,             0.24657,              0.1042,            0.058037,            0.025862,            0.036448,            0.009109,            0.009109,            0.009109
                  11,            0.062472,             0.04594,            0.041658,             0.61623,             0.32348,             0.29594,             0.10482,            0.060789,            0.028042,            0.034079,             0.00901,             0.00901,             0.00901
                  12,            0.063414,            0.045415,            0.041055,             0.67463,             0.32163,             0.34691,             0.14419,            0.052861,             0.02502,            0.032149,            0.008911,            0.008911,            0.008911
                  13,            0.059546,            0.040218,            0.039383,             0.64136,             0.35971,             0.33482,             0.14919,            0.053283,            0.024024,             0.03042,            0.008812,            0.008812,            0.008812
